,0
rap_mean_3h,0.05064516129032257
cpp_mean_3h,0.024516129032258045
age_group_40-49,0.022903225806451617
map_mean_3h,0.01967741935483871
sex_group_Male,0.0035483870967742024
age_group_50-59,0.0016129032258064557
age_group_70+,0.00032258064516129114
age_group_30-39,0.0
age_group_60-69,-0.001935483870967747
icp_mean_3h,-0.015161290322580645
amp_mean_3h,-0.047096774193548394
